date[2004-03-19] buy[118100] price[7.38] cash[37.0517] value[871615.0517]
date[2004-03-23] sell[118100] price[7.46] cash[879917.7179] benerfit[8041.1928]
date[2004-03-26] buy[117200] price[7.50] cash[654.0179] value[879654.0179]
date[2004-03-29] sell[117200] price[7.41] cash[867977.0303] benerfit[-11940.6876]
date[2004-03-30] buy[116000] price[7.48] cash[36.7263] value[867716.7263]
date[2004-04-02] sell[116000] price[7.67] cash[888600.0903] benerfit[20623.0600]
date[2004-04-05] buy[114600] price[7.75] cash[183.6453] value[888333.6453]
date[2004-04-07] sell[114600] price[7.91] cash[905491.2135] benerfit[16891.1232]
date[2004-04-13] buy[113800] price[7.95] cash[509.8005] value[905219.8005]
date[2004-04-14] sell[113800] price[7.77] cash[883586.3067] benerfit[-21904.9068]
date[2004-04-21] buy[113500] price[7.78] cash[291.3977] value[883321.3977]
date[2004-04-23] sell[113500] price[7.78] cash[882173.4587] benerfit[-1412.8480]
date[2004-04-26] buy[110900] price[7.95] cash[253.9622] value[881908.9622]
date[2004-04-27] sell[110900] price[7.63] cash[845320.9451] benerfit[-36852.5136]
date[2004-05-12] buy[115600] price[7.31] cash[31.4343] value[845067.4343]
date[2004-05-13] sell[115600] price[7.21] cash[832423.9155] benerfit[-12897.0296]
date[2004-05-18] buy[116800] price[7.12] cash[558.4307] value[832174.4307]
date[2004-05-21] sell[116800] price[6.97] cash[813596.1059] benerfit[-18827.8096]
date[2004-05-26] buy[122600] price[6.63] cash[514.2545] value[813352.2545]
date[2004-05-31] sell[122600] price[6.90] cash[845354.5325] benerfit[31758.4266]
date[2004-06-01] buy[120000] price[7.04] cash[301.0925] value[845101.0925]
date[2004-06-02] sell[120000] price[7.10] cash[851193.4925] benerfit[5838.9600]
date[2004-06-15] buy[131500] price[6.47] cash[133.2510] value[850938.2510]
date[2004-06-16] sell[131500] price[6.56] cash[861651.8190] benerfit[10458.3265]
date[2004-06-22] buy[134500] price[6.40] cash[593.5790] value[861393.5790]
date[2004-06-23] sell[134500] price[6.35] cash[853558.2815] benerfit[-8093.5375]
date[2004-06-24] buy[134100] price[6.36] cash[426.4187] value[853302.4187]
date[2004-06-25] sell[134100] price[6.30] cash[844158.1397] benerfit[-9400.1418]
date[2004-06-28] buy[129600] price[6.51] cash[209.0309] value[843905.0309]
date[2004-06-29] sell[129600] price[6.52] cash[844102.5413] benerfit[-55.5984]
date[2004-07-01] buy[132200] price[6.38] cash[413.5105] value[843849.5105]
date[2004-07-02] sell[132200] price[6.31] cash[833511.0739] benerfit[-10591.4674]
date[2004-07-16] buy[137000] price[6.08] cash[301.1859] value[833261.1859]
date[2004-07-19] sell[137000] price[6.05] cash[828073.6809] benerfit[-5437.3930]
date[2004-07-20] buy[134300] price[6.16] cash[537.4945] value[827825.4945]
date[2004-07-21] sell[134300] price[6.08] cash[816019.9873] benerfit[-12053.6936]
date[2004-07-29] buy[144300] price[5.65] cash[480.3988] value[815775.3988]
date[2004-07-30] sell[144300] price[5.57] cash[803186.5225] benerfit[-12833.4648]
date[2004-08-02] buy[144900] price[5.54] cash[199.6987] value[802945.6987]
date[2004-08-03] sell[144900] price[5.56] cash[804796.3615] benerfit[1609.8390]
date[2004-08-04] buy[139100] price[5.78] cash[557.1621] value[804555.1621]
date[2004-08-05] sell[139100] price[5.64] cash[784061.2809] benerfit[-20735.0806]
date[2004-08-06] buy[138200] price[5.67] cash[232.2027] value[783826.2027]
date[2004-08-09] sell[138200] price[5.63] cash[777286.7169] benerfit[-6774.5640]
date[2004-08-10] buy[137500] price[5.65] cash[178.6544] value[777053.6544]
date[2004-08-11] sell[137500] price[5.55] cash[762311.5919] benerfit[-14975.1250]
date[2004-08-23] buy[150000] price[5.08] cash[82.9919] value[762082.9919]
date[2004-08-25] sell[150000] price[5.22] cash[782065.0919] benerfit[19753.5000]
date[2004-08-27] buy[151500] price[5.16] cash[90.5699] value[781830.5699]
date[2004-08-30] sell[151500] price[5.15] cash[779301.2774] benerfit[-2763.8145]
date[2004-08-31] buy[147500] price[5.28] cash[267.6374] value[779067.6374]
date[2004-09-01] sell[147500] price[5.23] cash[770689.7849] benerfit[-8611.4925]
date[2004-09-02] buy[145300] price[5.30] cash[368.7579] value[770458.7579]
date[2004-09-03] sell[145300] price[5.33] cash[773810.9742] benerfit[3121.1893]
date[2004-09-14] buy[146500] price[5.28] cash[58.9182] value[773578.9182]
date[2004-09-16] sell[146500] price[5.71] cash[835486.4487] benerfit[61675.4745]
date[2004-09-17] buy[142000] price[5.88] cash[275.9607] value[835235.9607]
date[2004-09-20] sell[142000] price[6.04] cash[856840.9767] benerfit[21354.5280]
date[2004-10-11] buy[150800] price[5.68] cash[40.0135] value[856584.0135]
date[2004-10-12] sell[150800] price[5.61] cash[844928.2291] benerfit[-11912.7476]
date[2004-10-13] buy[143800] price[5.87] cash[568.9973] value[844674.9973]
date[2004-10-14] sell[143800] price[5.68] cash[816291.1781] benerfit[-28637.0510]
date[2004-10-15] buy[138500] price[5.89] cash[281.4486] value[816046.4486]
date[2004-10-18] sell[138500] price[5.85] cash[809453.1561] benerfit[-6838.0220]
date[2004-10-19] buy[136900] price[5.91] cash[131.4324] value[809210.4324]
date[2004-10-20] sell[136900] price[6.01] cash[821830.8327] benerfit[12377.6766]
date[2004-10-26] buy[140400] price[5.85] cash[244.4307] value[821584.4307]
date[2004-10-27] sell[140400] price[5.91] cash[828929.7375] benerfit[7098.9048]
date[2004-11-03] buy[152300] price[5.44] cash[169.1839] value[828681.1839]
date[2004-11-04] sell[152300] price[5.34] cash[812393.9173] benerfit[-16535.8202]
date[2004-11-05] buy[150900] price[5.38] cash[308.3647] value[812150.3647]
date[2004-11-08] sell[150900] price[5.40] cash[814109.0467] benerfit[1715.1294]
date[2004-11-09] buy[148700] price[5.47] cash[476.0300] value[813865.0300]
date[2004-11-11] sell[148700] price[5.61] cash[833598.5609] benerfit[19489.5142]
date[2004-11-12] buy[144100] price[5.78] cash[450.6915] value[833348.6915]
date[2004-11-15] sell[144100] price[5.88] cash[846657.1911] benerfit[13058.6302]
date[2004-11-18] buy[146900] price[5.76] cash[259.3479] value[846403.3479]
date[2004-11-24] sell[146900] price[5.93] cash[870243.8958] benerfit[23586.7047]
date[2004-11-30] buy[148700] price[5.85] cash[87.9273] value[869982.9273]
date[2004-12-01] sell[148700] price[5.81] cash[862911.7962] benerfit[-7332.0996]
date[2004-12-02] buy[145400] price[5.93] cash[431.1296] value[862653.1296]
date[2004-12-06] sell[145400] price[6.03] cash[876053.3390] benerfit[13141.5428]
date[2004-12-14] buy[153100] price[5.72] cash[58.6194] value[875790.6194]
date[2004-12-15] sell[153100] price[5.68] cash[868536.1290] benerfit[-7517.2100]
date[2004-12-21] buy[158100] price[5.49] cash[306.7383] value[868275.7383]
date[2004-12-23] sell[158100] price[5.53] cash[873463.1574] benerfit[4927.0284]
date[2004-12-27] buy[157000] price[5.56] cash[281.2814] value[873201.2814]
date[2004-12-28] sell[157000] price[5.46] cash[856386.8954] benerfit[-17076.2620]
date[2004-12-29] buy[155600] price[5.50] cash[330.1554] value[856130.1554]
date[2004-12-30] sell[155600] price[5.50] cash[855017.6154] benerfit[-1369.2800]
date[2005-01-05] buy[157100] price[5.44] cash[137.2282] value[854761.2282]
date[2005-01-06] sell[157100] price[5.24] cash[822271.0630] benerfit[-32746.5524]
date[2005-01-10] buy[152200] price[5.40] cash[144.4990] value[822024.4990]
date[2005-01-11] sell[152200] price[5.38] cash[817916.0122] benerfit[-4355.0508]
date[2005-01-12] buy[152200] price[5.37] cash[356.8180] value[817670.8180]
date[2005-01-13] sell[152200] price[5.36] cash[815088.2884] benerfit[-2827.7238]
date[2005-01-18] buy[154300] price[5.28] cash[139.8772] value[814843.8772]
date[2005-01-19] sell[154300] price[5.27] cash[812243.7679] benerfit[-2844.5205]
date[2005-01-21] buy[153400] price[5.29] cash[514.3221] value[812000.3221]
date[2005-01-25] sell[153400] price[5.44] cash[833925.4773] benerfit[21681.7094]
date[2005-02-02] buy[166700] price[5.00] cash[175.4273] value[833675.4273]
date[2005-02-03] sell[166700] price[4.87] cash[810949.0496] benerfit[-22976.4277]
date[2005-02-04] buy[164400] price[4.93] cash[213.9020] value[810705.9020]
date[2005-02-17] sell[164400] price[4.93] cash[809652.2624] benerfit[-1296.7872]
date[2005-02-18] buy[163100] price[4.96] cash[433.5696] value[809409.5696]
date[2005-02-23] sell[163100] price[5.15] cash[839306.6151] benerfit[29654.3527]
date[2005-03-01] buy[153600] price[5.46] cash[399.0183] value[839055.0183]
date[2005-03-02] sell[153600] price[5.22] cash[801148.6887] benerfit[-38157.9264]
